id,name,type,location,region,country,description,route_length_miles,difficulty,key_features,associated_organisations,website
PH001,St Cuthbert's Way,Pilgrimage Route,Melrose to Holy Island,Scottish Borders / Northumberland,UK,62-mile trail following the life of St Cuthbert from Melrose Abbey to Holy Island (Lindisfarne).,62,Moderate,Historic monasteries; Tidal causeway crossing; Celtic Christianity,British Pilgrimage Trust,https://www.stcuthbertsway.info/
PH002,Pilgrims' Way (North Downs Way),Pilgrimage Route,Winchester to Canterbury,South East England,UK,Historic route from Winchester to Canterbury following the North Downs. Medieval pilgrimage to Thomas Becket's shrine.,120,Easy-Moderate,Canterbury Cathedral; Medieval history; Chaucer connection,British Pilgrimage Trust; National Trails,https://www.nationaltrail.co.uk/en_GB/trails/north-downs-way/
PH003,Augustine Camino,Pilgrimage Route,Ramsgate to Canterbury,Kent,UK,Route following St Augustine's journey from his landing at Ramsgate to Canterbury where he established Christianity in England.,25,Easy,Augustine's landing site; Canterbury Cathedral; Anglo-Saxon Christianity,British Pilgrimage Trust,https://www.augustinecamino.co.uk/
PH004,St Columba's Way,Pilgrimage Route,Glasgow to Iona,Western Scotland,UK,Route following St Columba's journey from Glasgow through the Scottish Highlands to the sacred island of Iona.,Various,Moderate-Challenging,Iona Abbey; Celtic Christianity; Scottish Highlands; Island hopping,British Pilgrimage Trust,
PH005,Holy Island (Lindisfarne),Pilgrimage Destination,Northumberland,North East,UK,Tidal island and cradle of English Christianity. Home to Lindisfarne Priory; St Cuthbert's legacy; and the Lindisfarne Gospels.,,Easy,Tidal causeway; Lindisfarne Priory; Celtic Christianity; Gospels heritage,,https://www.holyislandoflindsifarne.com/
PH006,Iona,Pilgrimage Destination,Inner Hebrides; Scotland,Scotland,UK,Sacred island and centre of Celtic Christianity. Home to Iona Abbey founded by St Columba in 563 AD.,,Easy,Iona Abbey; Celtic Christianity; Columba's legacy; Iona Community,Iona Community,https://www.iona.org.uk/
PH007,Canterbury,Pilgrimage Destination,Kent,South East,UK,Seat of the Archbishop of Canterbury and destination of medieval pilgrimage. Canterbury Cathedral; St Augustine's Abbey.,,Easy,Canterbury Cathedral; UNESCO World Heritage; Becket's shrine; Augustine,,https://www.canterbury-cathedral.org/
PH008,Walsingham,Pilgrimage Destination,Norfolk,East of England,UK,Major English pilgrimage site since 1061. Both Anglican and Catholic shrines. Known as 'England's Nazareth'.,,Easy,Anglican Shrine; Catholic Shrine; Holy House; Pilgrimage walks,Shrine of Our Lady of Walsingham,https://www.walsinghamanglican.org.uk/
PH009,Glastonbury,Pilgrimage Destination,Somerset,South West,UK,Ancient Christian site associated with Joseph of Arimathea and King Arthur. Glastonbury Abbey and the Tor.,,Easy,Glastonbury Abbey; The Tor; Joseph of Arimathea legend; Celtic connections,,
PH010,Durham,Pilgrimage Destination,County Durham,North East,UK,Durham Cathedral houses the shrine of St Cuthbert and the tomb of the Venerable Bede. UNESCO World Heritage Site.,,Easy,Durham Cathedral; St Cuthbert's shrine; Bede's tomb; UNESCO,,https://www.durhamcathedral.co.uk/
PH011,Camino de Santiago,Pilgrimage Route,Various starting points to Santiago de Compostela,Northern Spain,Spain,The Way of St James. Multiple routes across Spain converging on Santiago de Compostela Cathedral.,500+ (French Way),Moderate-Challenging,St James shrine; Pilgrim credential; Multiple routes; International,Confraternity of St James (UK),https://www.csj.org.uk/
PH012,Holy Land (Israel/Palestine),Pilgrimage Destination,Jerusalem; Bethlehem; Nazareth; Galilee,Various,Israel/Palestine,The premier Christian pilgrimage destination. Sites of Jesus's birth; ministry; death; and resurrection.,,Easy-Moderate,Church of the Holy Sepulchre; Bethlehem; Sea of Galilee; Via Dolorosa,McCabe; Tangney; All Saints Travel,
PH013,Lourdes,Pilgrimage Destination,Hautes-Pyrénées,Southern France,France,Major Catholic pilgrimage site. Shrine of Our Lady of Lourdes; healing waters; and processions.,,Easy,Grotto; Healing baths; Torchlight procession; Assisted pilgrimages,Tangney Tours; Aglow Pilgrimages,
PH014,Rome,Pilgrimage Destination,Lazio,Central Italy,Italy,Centre of the Catholic Church. Vatican City; St Peter's Basilica; Catacombs; and countless churches.,,Easy,Vatican; St Peter's; Sistine Chapel; Catacombs; Papal audience,Tangney Tours; McCabe,
PH015,Fatima,Pilgrimage Destination,Santarém District,Central Portugal,Portugal,Major Catholic pilgrimage site commemorating the 1917 apparitions of the Virgin Mary to three shepherd children.,,Easy,Basilica; Chapel of Apparitions; Candlelight procession,Tangney Tours; Aglow Pilgrimages,
PH016,Assisi,Pilgrimage Destination,Umbria,Central Italy,Italy,Birthplace of St Francis. Basilica of San Francesco; medieval town; and Franciscan spirituality.,,Easy,Basilica of San Francesco; Franciscan heritage; Medieval town,McCabe; Tangney,
PH017,Oberammergau,Pilgrimage Destination,Bavaria,Southern Germany,Germany,Village famous for its Passion Play performed every 10 years (next 2030). Popular with Christian tour groups.,,Easy,Passion Play (decennial); Bavarian Alps; Wood carving tradition,McCabe; Tangney; Norman Allen,
PH018,Taizé,Pilgrimage Destination,Burgundy,Eastern France,France,Ecumenical monastic community attracting thousands of young people weekly for prayer; worship; and community.,,,Ecumenical community; Youth focus; Contemplative worship; International,,https://www.taize.fr/
PH019,London Christian Heritage Trail,Heritage Trail,London,London,UK,Walking tours exploring London's Christian heritage including Wilberforce; Wesley; Whitefield; Spurgeon; and more.,,Easy,Multiple walking routes; Reformation sites; Missionary history; Free churches,Christian Heritage London,https://christianheritagelondon.org/
PH020,Christian Heritage Cambridge,Heritage Destination,Cambridge,East of England,UK,The Round Church and associated tours exploring Christianity's role in Cambridge history. 20000+ visitors annually.,,Easy,Round Church (12th century); University connections; Reformation history,Christian Heritage Cambridge,https://www.christianheritage.org.uk/
