id,name,website,category,description,relevance_to_website,partnership_opportunity
PM001,Premier Christianity,https://www.premierchristianity.com/,Christian Media (Magazine/Radio),UK's leading Christian magazine and radio network. Operates Premier Christian Radio; Premier Gospel; and digital platforms.,Operates the Christian Holiday Guide - direct competitor but also potential advertising partner,Advertising; Content partnership; Holiday Guide listing
PM002,Christian Holiday Guide (Premier),https://growwithpremier.com/brands/christian-holiday-guide/,Directory (Competitor),The go-to space for Christians seeking faith-based holiday experiences. Part of Premier media group.,Direct competitor in the directory space. Understand their model and differentiate.,Competitive analysis; Potential acquisition target
PM003,OSCAR,https://oscar.org.uk/,Information Service,UK information service for world mission. Maintains extensive directories of Christian accommodation and holiday services.,Key data source with 128+ holiday resources listed. Potential referral partner.,Data partnership; Cross-referral; Listing syndication
PM004,Christian Residential Network (CRNet),https://crnet.org.uk/,Industry Association,Association representing 200+ Christian residential venues; conference centres; and camps across the UK.,Industry body - partnership could provide access to all member venues for listing.,Bulk listing partnership; Industry endorsement
PM005,The Retreat Association,https://www.retreats.org.uk/,Industry Association,Directory of retreat centres across the UK with interactive map and upcoming retreats.,Complementary directory - potential data sharing or cross-promotion.,Cross-promotion; Data sharing; Retreat listings
PM006,British Pilgrimage Trust,https://www.britishpilgrimage.org/,Heritage Organisation,Maps over 250 pilgrimage routes across Britain. Promotes walking pilgrimage and slow travel.,Content partnership for pilgrimage route guides and mapping data.,Content partnership; Route data; Joint promotion
PM007,Church Times,https://www.churchtimes.co.uk/,Christian Media (Newspaper),Leading Anglican newspaper covering church news; features; and reviews including travel.,Advertising channel and editorial partnership for travel features.,Advertising; Editorial features; Sponsored content
PM008,Christianity Magazine,https://www.christianitymagazine.co.uk/,Christian Media (Magazine),UK Christian magazine covering faith; culture; and lifestyle topics.,Advertising channel reaching engaged Christian readership.,Advertising; Sponsored content
PM009,Stewardship,https://www.stewardship.org.uk/,Christian Charity/Finance,UK's largest Christian giving charity. Also produces content about Christian organisations and camps.,Content partnership; Blog features about holiday providers.,Content features; Charity partnership
PM010,Evangelical Alliance,https://www.eauk.org/,Church Network,Largest body of evangelicals in the UK representing millions of Christians across denominations.,Endorsement and promotion to member churches. Events partnership.,Endorsement; Member communications; Events
PM011,Churches Together in Britain and Ireland,https://ctbi.org.uk/,Ecumenical Body,National ecumenical instrument bringing together churches across Britain and Ireland.,Broad church endorsement and cross-denominational promotion.,Endorsement; Cross-denominational reach
PM012,Single Friendly Church,https://www.singlefriendlychurch.com/,Niche Community,Organisation supporting single Christians in church life. Publishes holiday ideas for singles.,Content partnership for singles holiday recommendations.,Singles holiday content; Referral partnership
PM013,Prayer Eleven,https://www.prayereleven.org/,Prayer Resource,Prayer resource website maintaining comprehensive list of UK retreat centres by region.,Data source for retreat centre listings. Cross-referral opportunity.,Data source; Cross-referral
PM014,England's Christian Heritage,http://englandschristianheritage.org.uk/,Heritage Directory,Directory of key places that shaped England's Christian development.,Content partnership for heritage destination guides.,Content partnership; Heritage listings
PM015,Confraternity of St James,https://www.csj.org.uk/,Pilgrimage Organisation,UK charity supporting pilgrims walking the Camino de Santiago. Provides information and credentials.,Partnership for Camino-related content and pilgrim accommodation.,Content partnership; Pilgrim resources
PM016,Pilgrims and Prophets,https://www.pilgrimsandprophets.co.uk/,Heritage Tour Operator,UK Christian heritage tours and directory. Offers free travel advice for visitors.,Content partnership; Heritage directory cross-referral.,Cross-referral; Heritage content
PM017,Christian Heritage London,https://christianheritagelondon.org/,Heritage Organisation,Walking tours and storytelling of London's Christian heroes (Wilberforce; Wesley; Whitefield).,Content partnership for London heritage guides.,Content partnership; Tour listings
PM018,Christian Heritage Edinburgh,https://www.christianheritageedinburgh.org.uk/,Heritage Organisation,Bringing Edinburgh's extraordinary spiritual history to life for today's generation.,Content partnership for Edinburgh heritage guides.,Content partnership; Tour listings
PM019,UCB (United Christian Broadcasters),https://www.ucb.co.uk/,Christian Media (Radio/TV),Christian media charity operating radio; TV; and digital platforms reaching millions.,Advertising channel with broad Christian audience reach.,Advertising; Sponsored content
PM020,GOD TV,https://www.god.tv/,Christian Media (TV),Christian television network broadcasting globally from UK base.,Video content partnership; Advertising to global audience.,Advertising; Video content
